signature_hash,decision,selected_candidate_id,selected_ein,selected_name,confidence,auto_accept,validation_status,validation_error,explanation,output_json
SIG_d27b4b63689ec3a95c24c9ff9cfecada87223c83,KEEP_REPORTED_EIN,C1,042921338,MASS GENERAL BRIGHAM INCORPORATED,0.94,1,ok,,Reported recipient EIN 042921338 was found in org_identity as 'MASS GENERAL BRIGHAM INCORPORATED' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.412. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.94, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 042921338 was found in org_identity as 'MASS GENERAL BRIGHAM INCORPORATED' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.412. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_weakly_agrees"", ""reported_ein_candidate_present""]}"
SIG_08fd36d573e204027fae47a0f07d9b47b84b879c,KEEP_REPORTED_EIN,C1,946002123,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT BERKELEY,0.985,1,ok,,Reported recipient EIN 946002123 was found in org_identity as 'REGENTS OF THE UNIVERSITY OF CALIFORNIA AT BERKELEY' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.786. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 946002123 was found in org_identity as 'REGENTS OF THE UNIVERSITY OF CALIFORNIA AT BERKELEY' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.786. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_862ae6805c6c52589f0b0a5a1bcbd4fdc3e063e9,KEEP_REPORTED_EIN,C1,237093281,WORLD LITERATURE CRUSADE,0.94,1,ok,,Reported recipient EIN 237093281 was found in org_identity as 'WORLD LITERATURE CRUSADE' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.686. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.94, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 237093281 was found in org_identity as 'WORLD LITERATURE CRUSADE' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.686. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_weakly_agrees"", ""reported_ein_candidate_present""]}"
SIG_b05b4f2af79b651a8f0fb1783f655822e5c68414,KEEP_REPORTED_EIN,C1,956006145,UNIVERSITY OF CALIFORNIA SANTA BARBARA,0.985,1,ok,,Reported recipient EIN 956006145 was found in org_identity as 'UNIVERSITY OF CALIFORNIA SANTA BARBARA' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 956006145 was found in org_identity as 'UNIVERSITY OF CALIFORNIA SANTA BARBARA' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_3b8b33ed8f05bcb0b0bd607460cf9dfd96f66c16,KEEP_REPORTED_EIN,C1,841908707,MASS GENERAL BRIGHAM INCORPORATED,0.985,1,ok,,Reported recipient EIN 841908707 was found in org_identity as 'MASS GENERAL BRIGHAM INCORPORATED' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.741. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 841908707 was found in org_identity as 'MASS GENERAL BRIGHAM INCORPORATED' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.741. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_40a733d8feaf142361e0d4b3188ddc5ba3cb73d4,KEEP_REPORTED_EIN,C1,546001804,VIRGINIA MUSEUM OF FINE ARTS,0.985,1,ok,,Reported recipient EIN 546001804 was found in org_identity as 'VIRGINIA MUSEUM OF FINE ARTS' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 546001804 was found in org_identity as 'VIRGINIA MUSEUM OF FINE ARTS' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_579c04fc99bb92039bbf70a7c4a2efbab53c490c,KEEP_REPORTED_EIN,C1,363412482,MONTANA SECTION AMERICAN WATER RESOURCES ASSOCIATION,0.94,1,ok,,Reported recipient EIN 363412482 was found in org_identity as 'MONTANA SECTION AMERICAN WATER RESOURCES ASSOCIATION' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.421. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.94, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 363412482 was found in org_identity as 'MONTANA SECTION AMERICAN WATER RESOURCES ASSOCIATION' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.421. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_weakly_agrees"", ""reported_ein_candidate_present""]}"
SIG_77cf824e5ca5dd6825481fd640f28ab350837b7d,KEEP_REPORTED_EIN,C1,556000842,STATE OF WEST VIRGINIA,0.94,1,ok,,Reported recipient EIN 556000842 was found in org_identity as 'STATE OF WEST VIRGINIA' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.565. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.94, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 556000842 was found in org_identity as 'STATE OF WEST VIRGINIA' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.565. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_weakly_agrees"", ""reported_ein_candidate_present""]}"
SIG_6e6642ad13002162885deb757c7f7078af11b299,KEEP_REPORTED_EIN,C1,951831097,WYCLIFFE BIBLE TRANSLATORS INC,0.985,1,ok,,Reported recipient EIN 951831097 was found in org_identity as 'WYCLIFFE BIBLE TRANSLATORS INC' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 951831097 was found in org_identity as 'WYCLIFFE BIBLE TRANSLATORS INC' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_0171cc7d322c908dde85749633a101a3b0f657b1,KEEP_REPORTED_EIN,C1,556000842,STATE OF WEST VIRGINIA,0.94,1,ok,,Reported recipient EIN 556000842 was found in org_identity as 'STATE OF WEST VIRGINIA' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.565. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.94, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 556000842 was found in org_identity as 'STATE OF WEST VIRGINIA' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.565. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_weakly_agrees"", ""reported_ein_candidate_present""]}"
SIG_f3e0726113422f72f904cd2b922fcf97ce27f2fe,KEEP_REPORTED_EIN,C1,480771751,KANSAS STATE UNIVERSITY,0.985,1,ok,,Reported recipient EIN 480771751 was found in org_identity as 'KANSAS STATE UNIVERSITY' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 480771751 was found in org_identity as 'KANSAS STATE UNIVERSITY' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_35f4da31cfd0bc2eb6fa460edebfed127b231a7e,KEEP_REPORTED_EIN,C1,941539563,REGENTS OF THE UNIVERSITY OF CALIFORNIA,0.94,1,ok,,Reported recipient EIN 941539563 was found in org_identity as 'REGENTS OF THE UNIVERSITY OF CALIFORNIA' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.515. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.94, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 941539563 was found in org_identity as 'REGENTS OF THE UNIVERSITY OF CALIFORNIA' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.515. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_weakly_agrees"", ""reported_ein_candidate_present""]}"
SIG_305d07d11878af3383401e0f260e97a5483d8d79,KEEP_REPORTED_EIN,C1,237093281,WORLD LITERATURE CRUSADE,0.94,1,ok,,Reported recipient EIN 237093281 was found in org_identity as 'WORLD LITERATURE CRUSADE' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.686. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.94, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 237093281 was found in org_identity as 'WORLD LITERATURE CRUSADE' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.686. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_weakly_agrees"", ""reported_ein_candidate_present""]}"
SIG_a92a92840ad74a8f5e05f0f39df1d06efdd90a67,KEEP_REPORTED_EIN,C1,836000331,UNIVERSITY OF WYOMING,0.985,1,ok,,Reported recipient EIN 836000331 was found in org_identity as 'UNIVERSITY OF WYOMING' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 836000331 was found in org_identity as 'UNIVERSITY OF WYOMING' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_55a03e185d3470d6e00d445bd574d5b0b6ebe448,KEEP_REPORTED_EIN,C1,621869024,HOUSE OF PRAISE AND WORSHIP CHURCH,0.985,1,ok,,Reported recipient EIN 621869024 was found in org_identity as 'HOUSE OF PRAISE AND WORSHIP CHURCH' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 621869024 was found in org_identity as 'HOUSE OF PRAISE AND WORSHIP CHURCH' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_d71ce2e4e2fd9ed24bf0eb1aef432dc9552b05f2,KEEP_REPORTED_EIN,C1,650246247,ONEHOPE INC,0.985,1,ok,,Reported recipient EIN 650246247 was found in org_identity as 'ONEHOPE INC' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.933. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 650246247 was found in org_identity as 'ONEHOPE INC' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.933. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_7360c1f1db5ab7d9052d5221a2b0471918d059df,KEEP_REPORTED_EIN,C1,316025986,THE OHIO STATE UNIVERSITY,0.985,1,ok,,Reported recipient EIN 316025986 was found in org_identity as 'THE OHIO STATE UNIVERSITY' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 316025986 was found in org_identity as 'THE OHIO STATE UNIVERSITY' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_15fd6aaa4374e31c07dd531c7bcccc141b582977,KEEP_REPORTED_EIN,C1,452721833,EMORY SAINT JOSEPHS INC,0.985,1,ok,,Reported recipient EIN 452721833 was found in org_identity as 'EMORY SAINT JOSEPHS INC' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.947. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 452721833 was found in org_identity as 'EMORY SAINT JOSEPHS INC' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 0.947. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_4095aac6a0a6837d101768a5800dcfc6e3770aef,KEEP_REPORTED_EIN,C1,836000331,UNIVERSITY OF WYOMING,0.985,1,ok,,Reported recipient EIN 836000331 was found in org_identity as 'UNIVERSITY OF WYOMING' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 836000331 was found in org_identity as 'UNIVERSITY OF WYOMING' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
SIG_a86811f4b8d3c4659292911283f2a368b15ce4b5,KEEP_REPORTED_EIN,C1,546055378,EASTERN VIRGINIA MEDICAL SCHOOL,0.985,1,ok,,Reported recipient EIN 546055378 was found in org_identity as 'EASTERN VIRGINIA MEDICAL SCHOOL' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped.,"{""candidate_id"": ""C1"", ""confidence"": 0.985, ""confidence_label"": ""high"", ""decision"": ""KEEP_REPORTED_EIN"", ""explanation"": ""Reported recipient EIN 546055378 was found in org_identity as 'EASTERN VIRGINIA MEDICAL SCHOOL' from bmf_name. No first-pass reported-EIN contradiction was flagged. Recipient name score versus identity name is 1.000. Ollama was skipped."", ""needs_human_review"": false, ""reason_codes"": [""reported_ein_present"", ""reported_ein_found_in_org_identity"", ""bmf_name"", ""recipient_name_agrees"", ""reported_ein_candidate_present""]}"
